Sl No,                                                                          Prompts
99,"green curly hair, scared, tears, adult, slim, (big boobs), (dungeon, face detail, (ravishing), blushing, (pink fully unbuttoned nurse uniform), one tit popping out, nipples, (green pubic hair), (bellybutton), (vagina), (hands behind back), (legs)"
100,"NSFW, Hentai, Anime, Nipples, Naked, Perfect Lighting, Masterpiece, Masterwork, Solo, Gamer Girl, Gaming Headset, Game Controller, Streamer Girl, Gaming Chair, Bedroom"
101,"red short hair, (((braids))), fringe, bangs, smiling, hands joined, ((((upskirt))), ((white dress)), looking back, (((pink panties))"
102,"elf, blonde, beautiful, standing in lake, lifting skirt, (pretty pussy), (no underwear), ((looking at camera))"
103,wet tshirt (seethrough) (nsfw) dress raining public embarrassed night
104,"cute fit brunette girl, short hair,, gym, sweaty, highly detailed, masterpiece, professional photo, extreme details, high resolution, hdr"
105,"uned pants, unzipped, pants down, jeans, tshirt, nsfw, pubic hair, tits covered, changing room"
106,"koishi of satori, doggystyle double penetration pussy anal sex, (torn ripped shredded gown), (covered in cumshot ejaculation semen overflowing inseminated by kraken tentacles), crowded village"
107,"white background, high detailed eyes, smiling, sexy shading, colorful, pastel colors, medium boobs, casual outfit"
108,"elf, blonde, beautiful, standing in lake, lifting skirt, (pretty pussy), (no underwear), ((looking at camera))"
109,"kill la kill, ryuko matoi on a beach, cute, beautiful, masterpiece"
110,"adult woman, messy short blonde hair, spiky hair, average breasts, tan skin, jeans, store, shopping, angry, arrogant"
111,"ute school girl, school uniform, in city at night, long hair, ahegao, materpiece, d, amazing lighting, in classroom, artstation, award winning, stunning, aesthetic, depth, shading, unreal engine, blender"
112,"pokemon trainer, big boobs, yoga pants, beautiful women, angry, sweaty, detailed eyes, blushing, blue hair, boob window"
113,"cute fit girl, long hair, beach, sweaty, highly detailed, masterpiece, professional photo, extreme details, high resolution, hdr"
114,"sword art online, (asuna yuuki), a girl with long lightbrown hair walking up the stairs in a skirt with no panties from behind with a close up of her pussy, looking back to viewer"
115,"(((cool aunt))), (very messy short red undercut hair), (medium breasts), (angry), (detailed hands), jeans, collar, (brown eyes), (high resolution), detailed, high quality, detailed mouth, detailed face, on balcony, black shirt"
116,"Sexy nape of neck, athletic, perky nippels, open vagina, nsfw"
117,"Traditional woman, freckled, brunette, ponytail, nape of neck, neck hair, bending over, labia spread, college age"
118,"((((messy short brown hair)))), ((blue eyes)), skinny girl, choker, (anime), ((((bound in rope)))), ((((sad)))), (((anal dildo))), (full body image), (((naked))), ((bondage)), ((rope)), (((blushing))), (legs spread)"
119,"super big ass, waifu, pov hands, ass grabbed, black hair, face showing, no clothes"
120,"(katarina from league of legends), ((show full legs)), black lace lingerie leotard, green eyes, long red hair, angry face, shallow depth of field, fire light, fit body, ((skinny))"
121,"titty in wet see through dress, nipples and pussy visible through dress"
122,"blonde hair, red eyes, white lingerie, ((in chains)), prisoner"
123,"ryuko matoi, nude, ass spread, anal gape, embarrassed,"
124,"police officer, skirt, thighhigh socks, cocky, smug, dark backalley, silver hair, military cap"
125,"(((thong))), ((skinny)), (choker), ((())), (((full_body)))), ((glistening_skin)), ((sexy_pose)), ((())), (((knee highs))), blushing, (((topless))), blue_eyes, ((())), ((sitting on sofa)), ((2girls), (((two girls hugging)))"
126,"titty demon girl, topless corset, ((full body image)) (((perfect fingers)))"
127,"sexy girl, , tattoos, red hair, , doing splits, suit, flashy, bright, star, doing gymnastics"
128,"pyra from xenoblade, cropped shirt that is possible see the nipples through, jeans pants, in public, people around, black jacket"
129,"(((blunt bangs))), (((ponytail))), ((long sideburns)), ((purple hair)), ((((flirty smile)))), (((rocker chick))), (((adult))), (big boobs), ((cleavage)), ((bed room)), ((red eyes)), ((((black makeup)))), (((face detail))), ((beautiful)), blushing, (legs), (((goth))), ((((strapless bra)))), ((fishnet stockings)), ((((panties)))), ((hoop earrings)),"
130,"(((dark skin))), (((parted bangs))), ((short curly ponytail hair)), ((white hair)), (((scared))), (((broken armor))), (((nipples))), (((adult))), (medium boobs), ((cave)), (((black eyeliner))), (((face detail))), (((beige gloves))), ((beautiful)), (blushing), (legs), ((((attacked by bandit))))"
131,"colored hair, punk style, side shaved hair, piercing, showing the abdomen, pants below the waist, bdsm, tied"
132,"dark brown hair, slightly disheveled, creating a rebellious look honey eyes, intense and expressive, highlighting your strong personality wearing punk clothes, adorn leather jacket, opening jacket"
133,"school uniform, gigantic breasts, cleavage, classroom, blonde"
134,"beautiful busty waifu, k uhd, highly detailed, soft lips, soft body, bikini"
135,"((zombie)), ((sad)), (((adult))), (medium boobs), (slim), (((abandoned hospital))), ((red eyes)), (((ripped nurse uniform))), ((nipple)), ((((face detail)))), ((stitches)), ((((beautiful)))), ((legs)), (((gray skin))), (((bloody)))"
136,"((cute woman)) ((skinny ((shortlegged)) stature)), (extreme low chest) ((narrowly sleek and overwhelmingly heavy breasts)) ((((gigantic [vast sagging] udders)))), ((((exhibitionist)))) ((medieval ((arav dancer)))), ((brunette hair), (((pubic hair))), ((brown tanned skin)), (radiant [green] eyes)), (veil) (sarong), (((lewd indecently erotic dancing)), ((((curious crowd of people)))), (outdoors) at ((((medieval arab village))))"
137,"(beautiful face),((sexy goddess of underworld)),((hella norse goddess)), white pale skin, green eyes, black hair, dark armor, underworld background,"
138,"straight black hair, intense green eyes, medium height, black crop with lace details, short leather skirt, fishnet tights, highheeled boots adorn with silver bracelets and col"
139,"medusa, gorgon, greek mythology, clash of the titans, ((wig of snakes)), glowing eyes"
140,"nsfw, (close-up:0.5), thighs, solo, parted lips, outdoors, short hair, looking at viewer, blush, 1girl, (masterpiece, high quality), multicolored hair, two-toned hair, blue eyes, (adult, mature female:1.3), outfit-blackgh"
141,"shiny skin, highres, 4k, best quality, masterpiece, big sized breasts, thick thighs, shiny skin, nsfw, woman, sweating, hot weather, police outfit, japan, morning, sunshine, from below, thick thighs, big sized breasts, erotic police, seductive police, sweating alot, heavy sweat, cameltoe, a slight smoke coming from her vagina, panting, hot weather, wearing a tight police outfit, (police shirt, police pants, police shoes, police hat, police belt:1.5)"
142,"(masterpiece), (best quality), (highly detailed), ((absurdres)), fully nude, slim waist, belly button, perfect breasts, short hair, sexy, beautiful, perfect body, bedroom,  shiny skin, oiled skin, warm tones, soft shadows, vibrant colors, painterly effect, dreamy, pink nipples"
143,"highres, 4k, best quality, masterpiece, shiny skin, nsfw, woman, thick thighs, laying down, big sized breasts, wearing tight pyjamas, a woman inside a room with an arafed view of a city from a bedroom with a bed and a window, rooftop romantic, rainy evening, cozy atmospheric, rainy afternoon, cozy room, cozy place, rainy night, romantic atmosphere, cozy setting, rainy city at night, city at night in the rain, romantic ambiente, dreamy and romantic, new york city"
144,"detailed hair, detailed background, detailed face, intricate, 1girl, (solo:1.3), (lips, woman, mature female, tall, mature:1.3), mystical forest, (mole under eye, bangs, hime cut, sidelocks, very long hair,lipstick, eyelashes:1.2), sitting on the ground, expressionless, kimono, black kimono, (green hair:1.3), (black eyes:1.4), (petals, falling petals:1.3), (dusk, night, evening:1.2), cinematic lighting, (light rays:0.7), grass, nice hands, parted lips"
145,"(mature woman:1.2),solo,pointy ears,underwear,panties,thighhighs,looking at viewer,multicolored hair,gradient hair,elf,ass,dress,long hair,birdcage,feet,blonde hair,flower,soles,bangs,pink hair,no shoes,hair ornament,hair flower,white thighhighs,bare shoulders,realistic,sitting,twintails,closed mouth,white panties,toes,lips,low twintails,frills,looking back,full body, ((masterpiece)), (high quality), (best quality), (detailed), hd, perfect lighting, detailed face, detailed body"
146,"(masterpiece), (best quality), (official art, extremely detailed CG unity 8k wallpaper), (highly detailed), ((absurdres)), nudity, 1girl, solo, looking at viewer, blush, smile, short hair, blue eyes, large breasts, hair ornament, navel, sitting, nipples, collarbone, full body, light blue hair, nude, outdoors, parted lips, sky, barefoot, day, cloud, water, stomach, feet, tree, blue sky, toes, ocean, wariza, beach, soles, between legs, hand between legs, sand, palm tree, (adult, mature female:1.3), (shiny skin:1.2), oiled skin"
147,"Urban gardener, draped in eco-friendly clothing adorned with real plant accents, barefoot on a city rooftop garden, hands gently tending to lush greenery, hair woven with fresh flowers, a botanical crown with succulent accents, fingers decorated with delicate plant-inspired jewelry, a backpack filled with seeds and plant care tools, a vibrant aura of natural harmony and growth, heterochromia"
148,"a happy tall busty elf woman, long elf ears, silver braided hair, standing in a field of colorful flowers, butterflies, pastel colors, upper body focus"
149,"(mature woman:1.2), solo, purple long hair, purple eyes, smile, (short pink dress open neckline to the navel:1.1), big breasts,   ((masterpiece)), (high quality), (best quality), (detailed), hd, perfect lighting, detailed face, detailed body"
150,"Masterpiece, (40k concept art), Sister of Battle, blonde hair, large breasts, cleavage, epic, brutalism, highly detailed, RPG artwork, Warhammer, blood, oil on canvas, grimdark, erotic, (portrait)"
151,"((((mature adult tall, mature face)))), (cat ears),  ((gradient medium pink hair, medium hair)), glowing blue eyes, ((masterpiece, best quality)), (large breasts, wide hips, big ass, ((narrow waist))), ((heavy breathing)), sweat,"
152,"(gothic, monster hunter, holding crossbow, Van Helsing, crossbow:1.2), hat, cleavage, night, dim lighting, dark, creepy, curvy, thick, collarbone, small nipples, large breasts, detailed face, motivated light, dangerous mood, seductive mood, sexy, beckoning, inviting, dynamic, threatening, determined, fearless, ready to face the creatures of the night, dark cloak billowing, piercing eyes, silver bullets glinting, moonlit graveyard, mist swirling, intense and ominous atmosphere, gothic architecture looming"
153,"(mature woman:1.2),solo,short black hair, brown eyes, large breasts, (black latex short nurse's dress:1.1),( nurse's headdress:1.1), open neckline, sexy, (hospital room in the background:0.9), full body, ((masterpiece)), (high quality), (best quality), (detailed), hd, perfect lighting, detailed face, detailed body, full body"
154,"(masterpiece), (best quality), (official art, extremely detailed CG unity 8k wallpaper), (highly detailed), ((absurdres)), 1girl, solo, looking at viewer, blush, smile, short hair, large breasts, thighhighs, jewelry, underwear, purple eyes, panties, swimsuit, full body, pink hair, ass, ahoge, thighs, red hair, earrings, parted lips, choker, looking back, black thighhighs, indoors, spread legs, from behind, nail polish, black footwear, high heels, black panties, sideboob, night, black bikini, back, topless, squatting, bottle, thong, wooden floor, toenail polish, shoulder blades, (adult:1.4), (shiny skin:1.2), oiled skin"
155,"((dark skin:1.2, black:1.2, black skin, African, black body)) , nsfw:1.3, nude, naked:1.4 , medium hair, white hair, looking at viewer, eye roll, mind break , blushing, ahegao:1.4, anime illustration of a mature woman, enticing, goth egirl, wearing straps a leash ,bondage, shibari, imposing, large breasts, huge tits, big breasts, toned woman, ((from below)) (squeezing breasts) thin waist, thin, skinny , large hips, thick thighs, hourglass figure:1.3, medium hair, white hair, looking at viewer, eye roll, mind break , blushing, ahegao:1.4, from below"
156,"(mature woman:1.2),solo,short black hair, brown eyes, large breasts, (black latex short nurse's dress:1.1),( nurse's headdress:1.1), open neckline, sexy, (hospital room in the background:0.9), full body, , ((masterpiece)), (high quality), (best quality), (detailed), hd, perfect lighting, detailed face, detailed body, full body"
157,"(1girls, mature, demon girl, pointy ears, black horns, colored skin, milf:1.4), (emotionless, expressionless, half-closed eyes, looking at viewer, arms around neck), large breasts, thick thighs, wide hips, curvy, hip dips, (black hair,  long hair, bangs:1.2), (gray eyes:1.2), (Silver cross necklace and silver earrings, wearing simple, long-sleeved_shirt and shorts:1.2), makeup, eyelashes, long eyelashes, thick eyelashes, thick lips, big lips, sexy lips, big mouth, sexy mouth, (skindentation:1.4), (indoors, on bed) "
158,"(Masterpiece, Best Quality, High Quality, Highres), naked adult woman standing on the beach, shackles, bondage, bound wrists, medium breast, skinny, prominent nose, medium blonde hair, sad"
159,"1girl, black_gloves, black_wings, blood, blood_splatter, breasts, elbow_gloves, feathered_wings, gloves, long_hair, looking_at_viewer, medium_breasts, navel, panties, pointy_ears, red_moon, red_sky, smile, solo, thigh_strap, thighhighs, underwear, wings, (masterpiece, best quality, ultra-detailed, best shadow:1.2), high resolution,((cinematic light)), hyper detail, dramatic light, intricate details, dynamic angle, (extremely detailed CG unity 8k wallpaper:1.05), earth, milky way, starry"
160,"((best quality)), ((masterpiece)), (detailed), redhead 30yo woman tortured hogtied, hogtie, rope, ballgag, blindfold"
161,"A stunning and vibrant scene featuring a young woman completely nude,  with golden skin, ashen hair, and a short haircut, covered in glitter and vibrant paint splatters, dancing with unbridled joy amidst a colorful and dynamic background. The epic lighting casts a sense of awe and wonder over the scene, with warm and inviting colors illuminating the woman's form as she moves with grace and abandon. Rendered in a highly-detailed and expressive style, the scene captures the beauty and energy of the moment, inviting the viewer to join in the celebration and revelry."
162,"(masterpiece:1.4), (best quality:1.4), (high resolution:1.4)((mature female)), (fellatio:1.25),(deepthroat fellatio:1.2), male shaved pubic hair, (1girl), glasses, nerdy, (embarrased), beautiful, (1boy), erection, medium penis, (male pov), (head tilt:1.1), breasts, detailed eyes, hetero, sole male"
163,"(dark theme:0.9), medieval, three-quarter view, sexy woman posing, thighs, futanari, penis, small veiny penis, erection, bottomless, arms behind back, pointy ears, black hair, blue eyes, looking at viewer, ponytail, huge breasts, red lipstick, earrings, sexy stare, (bedroom eyes), dark colors, Volumetric lighting, baroque oil painting, dynamic lighting, hyperdetailed, intricately detailed, (hdr:1.22), vivid colors, complex background, hyperrealism, hyperdetailed"
164,"veiny penis, futanari, erection, testicles, blonde woman, messy ponytail hair, sitting in chair, view from below, on a beach, wearing golden bikini, smiling, orgasm face, light blush "
165,"(masterpiece, top quality, best quality, official art, beautiful and aesthetic:1.2), (fractal art:1.3), (mature woman), (veiny penis:1.5), futanari, erection, testicles, (1girl), masterpiece, best quality, erotic, sensual, fantasy, (mature:1.3), anime picture, cinematic lighting, colorful, demonic futa, messy hair, red eyes, large horns, large erection, drinking a beer, olden hour lighting, detailed cloud, sunny day, (colorful:1.2), highest detailed, cinematic light, (magical portal), holy light, (golden particles), (light beams)"
166,"(masterpiece, top quality, best quality, official art, beautiful and aesthetic:1.2), (veiny penis:1.5), futanari, erection, testicles, 1girl, (fractal art:1.3), highly intricate details, highest detail, extreme detail, intricate, colorful, cinematic lighting, beautiful cg art, from an award winning studio, gloomy atmosphere, dark art, eerie, atmospheric, (revealing armor:1.5), perky breasts, nude, (dark theme), in the style of kentaro miura, in the style of dark souls, horror, 3d illustration, dark fantasy, 1girl, (black armor and cape:1.1), (field of violet flowers:1.5), (long silver hair), (highly detailed horned helmet:1.2), (obscured face:1.3)"
167,"beautiful, (masterpiece, best quality, absurdres, mature woman, curvy:1.2), thick, from front, from below, (2boys, anal sex, missionary, sex:1.8), (anthropomorphic bunny, bunny ears, bunnygirl, penis, testicles, futanari, otoko no ko, female focus, frenulum, small penis:1.4), (precum, cumdrip, cumpool, skindentation:1.3), short pink hair, wearing headphones, gamer room, gamer aesthetic, trembling, squishy breasts, collarbone, small nipples, big breasts, detailed face, lr, motivated light, god rays, on bed, indoors, ass crack, peach ass, detailed penis"
168,"torture chamber Professional high detail RAW color photography a beautiful photo of an American woman naked Hasselblad photography, 4k photograph sharp focus,perfect eyes,intricate details,HQ, in focus,ultra detailed,slave choker,bondage device,chained to pole,bound, shackles"
169,"(((3girs:1.6, (kissing:1.2), mature female, vaginal, sex, pussy juice, cum in pussy, cum in mouth, ahegao, doggystyle, elf, bedroom in background, golden chain bondage:1.4, public tattoo))), (((trembling:1.4))), (heart), ((^^^)), motion lines, ((emphasis lines)), (motion blur), steam, ((steaming body)), ((heart-shaped pupils)), best quality, highly detailed, hyper realistic style, skindentation, photorealistic painted art, 8k, ultrares, trending on cg society, trending on artstation, vivid color"
170,"White fox, e621, (beautiful, hi res, absurd res, best quality, quality, masterpiece, leaf background, extremely detailed:1.1), (detailed face), anthro, female, furry, solo, nude, front view, looking at viewer, standing, (hyper breasts:1.2), (grabbing breasts:1.2), (blue eyes:1.2), big tail, fluffy, long ears, cute, chubby, big thighs, cute nose, cute snout"
171,"1girl, animal_ears, beach, blurry, blurry_background, blurry_foreground, breasts, brown_hair, denim, denim_shorts, depth_of_field, dirty, freckles, hand_on_hip, horizon, lips, looking_at_viewer, midriff, mole, motion_blur, navel, ocean, outdoors, photo_\(medium\), photo_background, photo_inset, realistic, reference_inset, short_hair, short_shorts, shorts, solo, standing, toned, water, hazy eyes, large fur spots, piercings"
172," solo, detailed red eyes, yellow sclera, black top with an open neckline, short denim shorts, medium breasts, master_tigress,  ((masterpiece)), (high quality), (best quality), (detailed), hd, perfect lighting, detailed face, detailed body"
173,"highly detailed, baroque, intricate, ornate, (nude:1.1) 2girls kissing (wrapped in cloth) lying near a fireplace, (Latina), freckles, multicolored hair, dark hair, messy hair, (wide hips), naughty face, (dim lighting:1.8), beautiful eyes, detailed face, lips, (nipples:1.2), looking at viewer, detailed hair, (fireplace), candles, depth of field, full body, small breasts, half-closed eyes, arched back, from side"
174,"Happy woman wearing a sundress, standing in a field of wildflowers, hair blowing in the breeze, holding onto straw hat, golden hour, god rays, highres"
175,"naked woman, short hair, messy hair, dirty hair, ebony, dark skinned, nude, tribal tattoos, covered in tattoos, fertility tattoos,  tattoos, tribal decorations, bonfire, night, night sky, night background, sexy pose, hands behind back, barefoot"
176,"masterpiece, best quality, ultra-detailed, absurdres, nsfw, sexy female, detailed background,  woman, missionary sex on a bed, big nose, Strong jawline, 
big penis, male pov, (cum on body, covered in cum:1.1), full-face_blush,   good hands, legs, hips, (1guy, male pov)"
177,"Masterpiece, best quality, a female angel with large breasts, kneeling in the middle of a graveyard, night time,  tombstone in a Circle,   , good hands, praying"
178,"masterpiece, best quality, extremely detailed RAW photograph of a beautiful pristine immaculate german blonde woman laying confidently in a steamy bath tub, confident gesture and expression, dominant and shameless pose, unminding, glaring at viewer, epic lighting, magic particles, Vogue, wide shoulders, (legs wide spread:1.4), delicious fat pussy"
179,"anime, illustration, beautiful girl, ,1girl,large breasts, mature female, pool party caitlyn, ocean, topless, side-tie bikini bottom,perky nipples, (wet skin,wet hair,wet body,), looking at viewer, adjusting hair, expressionless, partially submerged, looking at viewer, purple hair"
180,"A portrait of a nude violinist in a tarot card style in a magical garden, vibrant colors, high contrast, surreal, dreamy, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration"
181,"masterpiece ,best quality, Japanese mature female, long hair, gradient hair,authentic face texture, authentic skin texture, (skindentation:1.5),Fresco,hands in pockets,Quilling,Tanjore,scrapbooking,Liquid Hair,fucked silly,multicolored eyes,heart-shaped pupils,red bra,nsfw"
182,"woman, mature, (Masterpiece, Best Quality, High Quality, Highres:1.4), Detailed, Extremely Detailed, 4K, Detailed Face, (Hyper-Detailed Eyes:1.2), (Ornate:1.2), intricate, thick thighs,  (big breasts:1.3) , wide hips, (Solo:1.4), 1Girl, standing, looking at viewer, choker, (blushing:1.3), (dark brown eyes:1.2), red hair, (split ponytail:1.3), (fully clothed:1.1), bangs, tall,  jean shorts  ,  cherry blossoms "
183,"(Mature female:1.4), ((digital painting)), (Outdoor Setting, Urban Street), (Leggings, Tank Top), (Ponytail Hairstyle), Contemporary Art, Street Art, (Confident Stance), Active, Energetic, Unique Style, (Vibrant Colors, Bold Brushstrokes), (by Banksy, by Miss Van), (Dynamic, Urban), (Graffiti, Spray Paint Effect), (Cityscape Background), (Contemporary Fashion, Street Style), (Digital, Expressive), Modern, Captivating, wide hips, thick thighs, (open streetwear jacket, hands in pockets)"
184,"24 year old irish woman, curly ginger|red hair, plump body, facing camera, looking at camera, eye contact, eyeglasses, (topless:1.1), full length shot, breasts, boobs, (black pinstripe business pants), belt, (black shoes), walking in (office hallway), office background, ((people in background staring at her)), (vivid colors), (high contrast)"
185,"((masterpiece)), (((gray eyes))), (((black hair:1.3, even bangs, floating hair, liquid hair, chromatic aberration, paint splatter))), (focus on eyes, shaded, photo, insanely detailed), short hair, white skin,"
186,"masterpiece,  best quality, (photorealistic), mature male, flat chest, (t-shirt), wet clothes, rain, leaning against wall, panties, (pink bra),  (erection under clothes:0.9),  bulge,   platinum blonde hair"
187,"1girl, masterpiece, extremely_detailed, ahoge, ball_and_chain_restraint, bare_shoulders, barefoot, bdsm, torn black_dress,absurdly long hair, messy black hair, blue_eyes, bondage, bound, breasts, broken, broken_chain, chain, chained, cleavage, closed_mouth, collar, cuffs, torn dress, handcuffs, large_breasts, leash, metal_collar, restrained, shackles, side_slit, slave, solo, torn_clothes, torn clothes, looking at viewer, angry, dynamic lighting, orange light, dungeon, (brick wall),, 1girl, full body, (masterpiece, top quality, best quality), transparent background, absurdly long ((messy)) black hair, rags, torn clothes, slave, prisoner, chain, collar, barefoot, looking at viewer, cleavage, extremely detailed blue eyes, extremely detailed ropes, torn_dress_hanging_loosely_off_breasts"
188,"wide-angle low-angle phto of astronaut, ((mature woman)), (safety harness bondage), ((respirator)), reverse cowgirl, ((fucking machine dildo)), ((spaceship control panels)), amazing body, (pronounced feminine features), [mediterranean, asian], freckles, (flirting with camera), ((ecstasy orgasm)), 4k, 8k, award-winning, ((((pussy, pussy juice, fingering, female masturbation,))) (((trembling))), , (heart), ((^^^)), motion lines, ((emphasis lines)), (motion blur), steam, ((steaming body)) best quality, highly detailed, hyper realistic style, skindentation, photorealistic painted art, 8k, ultrares, trending on cg society, trending on artstation, vivid color"
189,"super high res 8k render, PPUp, paw pose, squatting, pussy juice,  , (bondage:1.2), sex slave, elf, blonde, big tits, on stage, being sold, price tag, 1girl, auction, (exposed boobs:1.2), thin, (thick luscious lips, round cheeks, petite nose, thin eyebrows, [bright] [blue] eyes, detailed iris, strong jawline, crying, innocent face:1), hdr, dof, depth of field, intricate details"
190,"1girl, masterpiece, standing, being led away, bondage, box tie, bound arms, bound wrists, bound thighs, ((crotch rope)) and pink vibrator, (shibari ((over clothes))), (messy sidelocks), outdoors, (green criss-cross_halter), bare shoulders, (green_leather_shorts), belt over waist, torn clothes, torn shorts, absurdly long brown straight hair, brown eyes, navel, fingerless black glove, forest scenery"
191,"(1girl, anime style, solo focus:1.2), long eyelashes, eyeshadow, (star-kafka, purple hair, hair between eyes, shaded face:1.4), (mature female:1.3), pale skin, (topless, navel, black panties, black thighhighs, bound wrists, hands behind back, tied up \(nonsexual\), kneeling,  medium breasts, nipples, naughty face, ball gag, white background:1.5)"
192,"furry, she-wolf, fur, absurdres, 1girl, vaginal, sex, cum on breasts, blush, sweat, pussy, pussy juice, tongue out, cum on tongue , (realistic:1.3), (fur wolf tail:0.4), (neat vigina:1.2), (slim body:1.2), leg up,"
193,"solo, nsfw, (furry:1.4), (fluffy:1.4), (anthro:1.4), (black snout:1.2), (long ginger hair:1.2), (gynomorph:1.4), (smile:1.1), (fox ears:1.4), (detailed ginger fur:1.2), looking at viewer, mature, small breasts, close up pussy, (detailed hazel eyes:1.2), best quality, masterpiece, sitting on bed, spread legs, small ears, whiskers, (bushy tail:1.2), orgasm, curtains, bedroom, from below"
194,"masterpiece, best quality, blue dragon girl, {wearing a space warrior outfit}, highly detailed, beautiful face, masterpiece, hips, cute, {{{Neo-romanticism}}}, small breasts, nipples, eyeshadow, choker, pleasured face, freckles, markings"
195,"highly detailed, baroque, intricate, ornate, (nude:1.1) 2girls kissing (wrapped in cloth) lying near a fireplace, (Latina), freckles, multicolored hair, dark hair, messy hair, (wide hips), naughty face, (dim lighting:1.8), beautiful eyes, detailed face, lips, (nipples:1.2), looking at viewer, detailed hair, (fireplace), candles, depth of field, full body, small breasts, half-closed eyes, arched back, from side"
196," (Best Quality, Masterpiece:1.4) , detailed background, detailed eyes, 1girl, solo, sidelocks, (long dress:1.4), dress, standing, (lady, adult woman, adult, mature female, mature:1.4), petals, hair flower, sky,  smile,  outdoors, waving, elysia (honkai impact), slit pupils, pink pupils, elf, pointy ears, pink hair, long hair, blue eyes, bangs, large breasts, ponytail"
197,"(Best Quality, Masterpiece:1.4) , detailed background, detailed eyes, 1girl, solo, sidelocks, (dark red hair, glowing dark red eyes, long hair:1.4), long dress, dress, standing, jewelry, necklace, (elbow gloves:1.3), (lady, adult woman, adult, mature female, mature:1.4), petals, hair flower, dark, sky,  moon, stars, flower field, flowers, red flowers, light smile, black dress, spider lily flowers"
198," NSFW, best quality, masterpiece, absurdres, cinematic lighting, realistic, 1girl, elf, solo, nude, medium breasts, perfect body, muscular body, pussy, long hair, bathing, hoop earrings, detailed eyes, cinematic, night, lake, moonlight, clouds, stars, fog, fireflies"
199,"(adult bimbo woman), instagram model, masterpiece, best quality, ultra-detailed, 4k, (upper body),royal hair  style hair,Chestnut  hair color"
200,"1girl,1boy,pov, breast, nsfw, uncensored, anime, illustration, beautiful girl, primrose azelhart, green eyes, hairband, off-shoulder shirt,  necklace, bracelets,  corneo_pov_oral, ((fellatio, deepthroat, irrumatio,head grab))"
201," nude, in a bubble bath, (steam, bubbles:1.3), nsfw, pubic hair, nipples, (medium sagging breasts:1.2), wet skin, wet hair, (beautiful mature woman, realistic:1.3), best quality, hdr, (hyperdetailed:1.1), (dark long blond hair, braid:1.2)"
202,"medium breasts, (realistic mature woman:1.2), laying back, in bed, nsfw, undressing, ornate, elegant, traditional japanese kimono, floral pattern, hair tied up, sidelocks, slight smile, expressive eyes, beautiful perfect face (highly detailed, masterpiece, best quality), eager to have sex, nsfw"
203,"masterpiece, best quality, 1girl, (colorful),(finely detailed beautiful eyes and detailed face),cinematic lighting,bust shot,extremely detailed CG unity 8k wallpaper, (colorful hair), solo, smile, naked, (NSFW:1.4),((flying petal)),(Flowery meadow) sky, cloudy_sky, building, daytime, (spring:1.3), beautiful scenary, light, fantasy, nipples, pussy, ((large breasts:1.3)), perfect slim body, (abs:0.8), (dynamic angle), adult, mature, from below, underboob, armpits, (light blue hair)"
204,"1girl, solo, lips, long eyelashes,SLE, mksks style, detailed background, nude, nipples, blonde hair, blue eyes, looking at viewer, standing, full body, realistic, landscape, cherry blossoms, alternate dimension, mystical night, dreamy, blue theme, neon trim, cyberpunk, jacket, back alley, sitting, from side, against wall, knee up, small breasts, (mature female:1.4), abandoned"
205,"(cheek bulge, fellatio, penis, 1girl, 1boy) (head tilt:1.2) from side dark green hair, red eyes breasts out, medium breasts, cum drips saliva, naked adult woman milf mature female lips "
206,"Masterpiece:1.2, Nsfw, 1 catgirl, 1boy, erect penis, cowgirl position, penis in vagina, (sex with man:1.4) sex pov, man pov, ahageo, nude, sweaty, shiny smooth skin, flawless, detailed, 8k, on bed, lamp, ornaments, royal"
207,"absurdres, ultra-detailed, (highres, masterpiece, best quality:1.3), (extremely detailed background:1.3),extremely detailed eyes,extremely detailed face, cinematic lighting,gigantic breasts,multicolored background,dancing crowd, crowded nightclub,neon lights, drinking straw,  blonde hair, blush, (beautiful mature milf girl),light rays, ((drunk)), dancing while drinking straw"
208,"(Best Quality, High Quality, Highres:1.4),   woman, (mature:1.4), Detailed, Extremely Detailed, 4K, Detailed Face, (Hyper-Detailed Eyes:1.2), (Ornate:1.2), intricate, big breasts , (Thick Thighs:1.2), wide hips, (Solo:1.4), 1Girl,   standing  ,( elf, elf ears, eyeliner, jewelry, mascara, eyeliner, shy, makeup:1.2),  nurse outfit , looking at viewer, choker, (blushing:1.3), (light green eyes:1.2),  blonde hair, (high ponytail:1.3),   (kitchen:1.3) , (fully clothed:1.1), single hair intake, tall"
209,"((best quality)), ((masterpiece)), (detailed), alluring succubus, ethereal beauty, perched on a cloud, (fantasy illustration:1.3), enchanting gaze, captivating pose, delicate wings, otherworldly charm, mystical sky, (Luis Royo:1.2), (Yoshitaka Amano:1.1), moonlit night, soft colors, (detailed cloudscape:1.3), (high-resolution:1.2), akali, league of legends, rias_gremory,  LARGE BREASTS,  topless, nipples"
210,"masterpiece, best quality, highres, best shadow, best illumination, finely detail, 1girl, 1boy, yae miko, pink hair, huge breasts, pussy, pussy juice, penis, hourglass figure, nude, thighhighs, (sex), on bed, lying, on back, spread legs, from above, ((((trembling)))), ((motion lines)), open mouth, looking at viewer, grabbing breast"
